Title,Company,Position,Deadline,Employment Type,Salary,Work Location,Grade,Stack,Link
백엔드 엔지니어 (NodeJS),데이터비,서버/백엔드,상시,,,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
지도보기·주소복사",대학교졸업(4년) 이상,"['Node.js', 'AWS', 'Python', 'AdonisJS']",https://www.jumpit.co.kr/position/16273
백엔드 엔지니어 (Python),데이터비,서버/백엔드,상시,,,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
지도보기·주소복사",대학교졸업(4년) 이상,"['Python', 'REST API', 'Amazon RDS for PostgreSQL', 'Redis', 'RabbitMQ']",https://www.jumpit.co.kr/position/16274
"Node.js 백엔드 개발자, IoT플랫폼 개발자",씨케이스택,서버/백엔드,상시,,,"경기 성남시 분당구 판교로255번길 9-22, 510-1호 판교우림W-CITY
지도보기·주소복사",대학교졸업(4년) 이상,"['Node.js', 'MySQL', 'Redis', 'MQTT', 'Python', 'AWS']",https://www.jumpit.co.kr/position/1622
[전문연구요원] 백엔드 엔지니어,로보코리아,서버/백엔드,상시,,,"서울 강남구 테헤란로25길 7, 6층
지도보기·주소복사",석사졸업 이상,"['TypeScript', 'NestJS', 'MongoDB', 'NoSql', 'MSA', 'Datadog', 'Grafana', 'Prometheus', 'AWS']",https://www.jumpit.co.kr/position/9050
[JNPMEDI] 백엔드 개발자 신입 모집,제이앤피메디,서버/백엔드,상시,,,"인천 연수구 컨벤시아대로 165, 포스코타워 송도 31층
지도보기·주소복사",무관,"['TypeScript', 'MySQL', 'AWS', 'GitHub Actions', 'Java']",https://www.jumpit.co.kr/position/10504
Backend Software Engineer,에이모,서버/백엔드,상시,,,"경기도 성남시 분당구 판교로228번길17,이랜텍동9층(삼평동,판교세븐벤쳐벨리2)
지도보기·주소복사",대학교졸업(4년) 이상,"['Python', 'Flask', 'MongoDB', 'MySQL', 'Redis', 'Elasticsearch', 'Docker', 'Kubernetes', 'AWS', 'AZURE']",https://www.jumpit.co.kr/position/595
[코스닥상장사] 엑셈 C 개발자 (신입),엑셈,서버/백엔드,상시,,,"서울 강서구 마곡중앙8로 5길 40 (마곡동) (주)엑셈
지도보기·주소복사",무관,"['c', 'c++', 'Git', 'Redmine']",https://www.jumpit.co.kr/position/9581
이커머스 서비스구축 개발자,더블미,서버/백엔드,상시,,,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
지도보기·주소복사",무관,"['Node.js', 'PostgreSQL', 'AWS', 'Git']",https://www.jumpit.co.kr/position/16516
백엔드 개발자,더블미,서버/백엔드,상시,,,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
지도보기·주소복사",무관,"['Node.js', 'PostgreSQL', 'AWS', 'Git']",https://www.jumpit.co.kr/position/16518
Node.js 개발자 모집(Backend)(병역특례),그린아이티코리아,서버/백엔드,2023-06-30,,,"서울 송파구 문정동 642 테라타워 2차 B동 1115호
지도보기·주소복사",석사졸업 이상,"['node.js', 'rest api', 'mssql', 'mysql', 'postgresql']",https://www.jumpit.co.kr/position/15293
[병역특례] 백엔드 개발(Node.js) 산업기능요원 모집,넛지헬스케어,서버/백엔드,상시,,,"서울 강남구 역삼로1길 8
지도보기·주소복사",무관,"['Node.js', 'mysql', 'amazon dynamodb', 'postgresql', 'elasticsearch', 'aws']",https://www.jumpit.co.kr/position/11999
[F&F] Web Platform Team Portal Part - PHP 백엔드 개발자,에프앤에프,서버/백엔드,상시,,,"서울 강남구 언주로 541
지도보기·주소복사",무관,"['RDB', 'NoSql', 'Dockerized', 'MySQL', 'Oracle', 'MongoDB', 'Kafka', 'PHP', 'nosql', 'spring boot']",https://www.jumpit.co.kr/position/14644
시스템 프로그래밍 신입/경력 채용,엠투아이코퍼레이션,서버/백엔드,상시,,,"경기도 안양시 동안구 시민대로 327번길 11-35
지도보기·주소복사",대학교졸업(4년) 이상,"['C++', 'Qt']",https://www.jumpit.co.kr/position/14546
"[패스오더] 백엔드 개발자 (Spring, Python, MSA) (병역특례/산업기능요원/보충역/전직)",페이타랩,서버/백엔드,상시,,,"서울특별시 강남구 영동대로 85길 34, 6층
지도보기·주소복사",무관,"['Python', 'Java', 'Jenkins', 'AWS', 'Redis', 'PostgreSQL', 'MSA', 'Docker', 'NGINX', 'RDB']",https://www.jumpit.co.kr/position/6943
[해커스 교육그룹] PHP 프로그래머 채용,챔프스터디,서버/백엔드,상시,,,"서울 서초구 강남대로61길 23, 203호
지도보기·주소복사",고등학교졸업 이상,"['MariaDB', 'Linux', 'REST API', 'AWS CodeCommit', 'Git', 'MySQL', 'AWS', 'PHP', 'Memcached', 'Redis']",https://www.jumpit.co.kr/position/10456
[서포티] Backend 개발(신입/경력),린온컴퍼니,서버/백엔드,상시,,,"서울 강남구 강남대로 364 13층 1302호
지도보기·주소복사",무관,"['Node.js', 'Java', 'JavaScript', 'TypeScript']",https://www.jumpit.co.kr/position/8901
미디어 서버 개발자,더블미,서버/백엔드,상시,,,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
지도보기·주소복사",무관,"['Node.js', 'PostgreSQL', 'AWS', 'Git', 'NestJS', 'MSA']",https://www.jumpit.co.kr/position/16515
