공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
백엔드 엔지니어 (NodeJS),데이터비,백엔드,상시,,,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
·",대학교졸업(4년) 이상,"[""Node.js"", ""AWS"", ""Python"", ""AdonisJS""]",https://www.jumpit.co.kr/position/16273
Backend Software Engineer,에이모,백엔드,상시,,,"경기 성남시 분당구 판교로228번길17,이랜텍동9층(삼평동,판교세븐벤쳐벨리2)
·",대학교졸업(4년) 이상,"[""Python"", ""Flask"", ""MongoDB"", ""MySQL"", ""Redis"", ""ElasticSearch"", ""Docker"", ""Kubernetes"", ""AWS"", ""Azure""]",https://www.jumpit.co.kr/position/595
"Node.js 백엔드 개발자, IoT플랫폼 개발자",씨케이스택,백엔드,상시,,,"경기 성남시 분당구 판교로255번길 9-22, 510-1호 판교우림W-CITY
·",대학교졸업(4년) 이상,"[""Node.js"", ""MySQL"", ""Redis"", ""MQTT"", ""Python"", ""AWS""]",https://www.jumpit.co.kr/position/1622
백엔드 엔지니어 (Python),데이터비,백엔드,상시,,,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
·",대학교졸업(4년) 이상,"[""Python"", ""기술이 아님"", ""AWS"", ""Redis"", ""RabbitMQ""]",https://www.jumpit.co.kr/position/16274
[전문연구요원] 백엔드 엔지니어,로보코리아,백엔드,상시,,,"서울 강남구 테헤란로25길 7, 6층
·",석사졸업 이상,"[""TypeScript"", ""Nest.js"", ""MongoDB"", ""NoSQL"", ""MSA"", ""Datadog"", ""Grafana"", ""Prometheus"", ""AWS""]",https://www.jumpit.co.kr/position/9050
[JNPMEDI] 백엔드 개발자 신입 모집,제이앤피메디,백엔드,상시,,,"인천 연수구 컨벤시아대로 165, 포스코타워 송도 31층
·",무관,"[""TypeScript"", ""MySQL"", ""AWS"", ""Git"", ""Java""]",https://www.jumpit.co.kr/position/10504
백엔드 개발자 채용,피아스페이스,백엔드,상시,,,"서울 서초구 태봉로 114 양재AI허브 5층, 8층 피아스페이스
·",대학교졸업(4년) 이상,"[""Python"", ""Node.js"", ""기술이 아님"", ""NoSQL"", ""Git""]",https://www.jumpit.co.kr/position/16901
[코스닥상장사] 엑셈 C 개발자 (신입),엑셈,백엔드,상시,,,"서울 강서구 마곡중앙8로 5길 40 (마곡동) (주)엑셈
·",무관,"[""C / C++"", ""Git"", ""Redmine""]",https://www.jumpit.co.kr/position/9581
이커머스 서비스구축 개발자,더블미,백엔드,상시,,,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·",무관,"[""Node.js"", ""PostgreSQL"", ""AWS"", ""Git""]",https://www.jumpit.co.kr/position/16516
백엔드 개발자,더블미,백엔드,상시,,,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·",무관,"[""Node.js"", ""PostgreSQL"", ""AWS"", ""Git""]",https://www.jumpit.co.kr/position/16518
