공고명,회사명,직무,마감일,근무지,기술스택,링크
백엔드 엔지니어 (NodeJS),데이터비,백엔드,상시 채용,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
·","[""Node.js"", ""AWS"", ""Python"", ""AdonisJS""]",https://www.jumpit.co.kr/position/16273
백엔드 엔지니어 (Python),데이터비,백엔드,상시 채용,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
·","[""Python"", ""AWS"", ""Redis""]",https://www.jumpit.co.kr/position/16274
"Node.js 백엔드 개발자, IoT플랫폼 개발자",씨케이스택,백엔드,상시 채용,"경기 성남시 분당구 판교로255번길 9-22, 510-1호 판교우림W-CITY
·","[""Node.js"", ""MySQL"", ""Redis"", ""MQTT"", ""Python"", ""AWS""]",https://www.jumpit.co.kr/position/1622
[전문연구요원] 백엔드 엔지니어,로보코리아,백엔드,상시 채용,"서울 강남구 테헤란로25길 7, 6층
·","[""TypeScript"", ""Nest.js"", ""MongoDB"", ""NoSQL"", ""MSA"", ""Datadog"", ""Grafana"", ""Prometheus"", ""AWS""]",https://www.jumpit.co.kr/position/9050
Backend Software Engineer,에이모,백엔드,상시 채용,"경기 성남시 분당구 판교로228번길17,이랜텍동9층(삼평동,판교세븐벤쳐벨리2)
·","[""Python"", ""Flask"", ""MongoDB"", ""MySQL"", ""Redis"", ""ElasticSearch"", ""Docker"", ""Kubernetes"", ""AWS"", ""Azure""]",https://www.jumpit.co.kr/position/595
백엔드 개발자 채용,피아스페이스,백엔드,상시 채용,"서울 서초구 태봉로 114 양재AI허브 5층, 8층 피아스페이스
·","[""Python"", ""Node.js"", ""NoSQL"", ""Git""]",https://www.jumpit.co.kr/position/16901
[JNPMEDI] 백엔드 개발자 신입 모집,제이앤피메디,백엔드,상시 채용,"인천 연수구 컨벤시아대로 165, 포스코타워 송도 31층
·","[""TypeScript"", ""MySQL"", ""AWS"", ""Git"", ""Java""]",https://www.jumpit.co.kr/position/10504
[코스닥상장사] 엑셈 C 개발자 (신입),엑셈,백엔드,상시 채용,"서울 강서구 마곡중앙8로 5길 40 (마곡동) (주)엑셈
·","[""C / C++"", ""Git"", ""Redmine""]",https://www.jumpit.co.kr/position/9581
이커머스 서비스구축 개발자,더블미,백엔드,상시 채용,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·","[""Node.js"", ""PostgreSQL"", ""AWS"", ""Git""]",https://www.jumpit.co.kr/position/16516
백엔드 개발자,더블미,백엔드,상시 채용,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·","[""Node.js"", ""PostgreSQL"", ""AWS"", ""Git""]",https://www.jumpit.co.kr/position/16518
Node.js 개발자 모집(Backend)(병역특례),그린아이티코리아,백엔드,2023-06-30,"서울 송파구 문정동 642 테라타워 2차 B동 1115호
·","[""Node.js"", ""MSSQL"", ""MySQL"", ""PostgreSQL""]",https://www.jumpit.co.kr/position/15293
[F&F] Web Platform Team Portal Part - PHP 백엔드 개발자,에프앤에프,백엔드,상시 채용,"서울 강남구 언주로 541
·","[""NoSQL"", ""Dockerized"", ""MySQL"", ""MongoDB"", ""Kafka"", ""PHP"", ""Spring""]",https://www.jumpit.co.kr/position/14644
[병역특례] 백엔드 개발(Node.js) 산업기능요원 모집,넛지헬스케어,백엔드,상시 채용,"서울 강남구 역삼로1길 8
·","[""Node.js"", ""MySQL"", ""AWS"", ""PostgreSQL"", ""elasticsearch""]",https://www.jumpit.co.kr/position/11999
[신입/경력] STO 플랫폼 서비스 블록체인 개발,블록체인글로벌,백엔드,2023-07-31,"서울 영등포구 여의나루로 57, 신송센터빌딩 10층
·","[""Java"", ""Kotlin"", ""Docker"", ""Kubernetes"", ""Hyperledger Fabric"", ""Go"", ""Node.js""]",https://www.jumpit.co.kr/position/16841
시스템 프로그래밍 신입/경력 채용,엠투아이코퍼레이션,백엔드,상시 채용,"경기 안양시 동안구 시민대로 327번길 11-35
·","[""C / C++""]",https://www.jumpit.co.kr/position/14546
"서버 백엔드 개발자 (1년 계약직, 정규직 전환 가능)",클레온,백엔드,상시 채용,"서울 중구 소월로2길 30 티타워 18층 클레온
·","[""Kotlin"", ""Spring"", ""AWS"", ""Node.js"", ""Python"", ""Git"", ""Docker"", ""PostgreSQL"", ""MySQL""]",https://www.jumpit.co.kr/position/16860
[해커스 교육그룹] PHP 프로그래머 채용,챔프스터디,백엔드,상시 채용,"서울 서초구 강남대로61길 23, 203호
·","[""MariaDB"", ""Linux"", ""AWS"", ""Git"", ""MySQL"", ""PHP"", ""Redis""]",https://www.jumpit.co.kr/position/10456
"[패스오더] 백엔드 개발자 (Spring, Python, MSA) (병역특례/산업기능요원/보충역/전직)",페이타랩,백엔드,상시 채용,"서울 강남구 영동대로 85길 34, 6층
·","[""Python"", ""Java"", ""Jenkins"", ""AWS"", ""Redis"", ""PostgreSQL"", ""MSA"", ""Docker"", ""Nginx""]",https://www.jumpit.co.kr/position/6943
