,공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
0,게임 서버 프로그래머 ,에이스프로젝트,"서버/백엔드, 모바일 게임, 게임 서버",상시 채용,정규직,,"서울 중구 을지로 264, (을지로6가) 스파크플러스 11층",,"['Java', 'Linux', 'Redis', 'Spring']",https://programmers.co.kr/job_positions/18654
1,[울산] C# .NET 개발자,인터엑스,"데이터 엔지니어링, 시스템 소프트웨어",상시 채용,정규직,,"울산 중구 종가6길 7, (우정동) 10층(혁신 더테라스)",,"['C#', '.NET', 'WPF']",https://programmers.co.kr/job_positions/17754
2,[서울] C# .NET 개발자,인터엑스,"데이터 엔지니어링, 시스템 소프트웨어",상시 채용,정규직,,"서울 금천구 가산디지털1로 171, (가산동) 1409호",,"['C#', '.NET', 'WPF']",https://programmers.co.kr/job_positions/17418
3,[ESTsoft] 백엔드 개발 (신입),이스트소프트,서버/백엔드,상시 채용,정규직,,대한민국 서울특별시 서초구 서초3동 반포대로 3 이스트빌딩,,,https://programmers.co.kr/job_positions/18459
4,서버 엔지니어 (Python),페이히어,서버/백엔드,상시 채용,정규직,,"서울 강남구 강남대로 374, (역삼동) 16층",,['Python'],https://programmers.co.kr/job_positions/16032
5,(자율주행 데브코스 수료생 전용) Computer Vison Engineer,프로그래머스 KDT 데브코스 자율주행 1기,"임베디드 소프트웨어, 사물인터넷(IoT), 응용 프로그램",상시 채용,정규직,,,,"['Machine Vision', 'SLAM', 'C++', 'Python']",https://programmers.co.kr/job_positions/17856
6,저작권 보호 서비스 개발,두다지,"서버/백엔드, 데이터 엔지니어링, 시스템/네트워크",상시 채용,계약직(1년 이상),,"서울 서초구 매헌로 16, (양재동) 1206호 두다지",,"['Docker', 'Python', 'Kubernetes']",https://programmers.co.kr/job_positions/18147
7,데이터분석 담당 (석사/박사),넛지헬스케어,"웹 풀스택, 인공지능(AI), 데이터 엔지니어링",상시 채용,정규직,,"서울 강남구 역삼로1길 8, (역삼동) ",,"['Docker', 'Django', 'Node.js', 'R', 'SQL', 'Vue.js', 'ReactJS', 'Python', 'MySQL', 'jQuery', 'JavaScript', 'HTML', 'Java']",https://programmers.co.kr/job_positions/18075
8,(자율주행 데브코스 수료생 전용) 자율주행 딥러닝 엔지니어,프로그래머스 KDT 데브코스 자율주행 1기,"인공지능(AI), 시스템 소프트웨어",상시 채용,정규직,,,,"['ROS', 'Linux', 'Tensorflow', 'PyTorch', 'Python', 'C++', 'OpenCV']",https://programmers.co.kr/job_positions/7608
9,[병역특례] 안드로이드개발 산업기능요원,넛지헬스케어,안드로이드,상시 채용,정규직,,"서울 강남구 역삼로1길 8, (역삼동) ",,"['Kotlin', 'Android', 'Java']",https://programmers.co.kr/job_positions/15838
10,(자율주행 데브코스 수료생 전용) 자율주행 SW개발,프로그래머스 KDT 데브코스 자율주행 1기,"인공지능(AI), 임베디드 소프트웨어, 사물인터넷(IoT)",상시 채용,정규직,,,,"['Docker', 'Deep Learning', 'Tensorflow', 'PyTorch', 'C++', 'Python']",https://programmers.co.kr/job_positions/17853
11,[울산] QA 엔지니어,인터엑스,QA,상시 채용,정규직,,"울산 중구 종가6길 7, (우정동) 10층",,['GitHub'],https://programmers.co.kr/job_positions/17441
12,Devops 엔지니어 (신입),에이에프아이,서버/백엔드,상시 채용,정규직,4300 ~ 5417 만원,"대한민국 서울특별시 성동구 아차산로 17, 서울숲엘타워 1301호",,"['Docker', 'Node.js', 'ES6', 'Linux', 'CI/CD']",https://programmers.co.kr/job_positions/16425
13,[병역특례] 백엔드개발(Node.js) 산업기능요원,넛지헬스케어,"서버/백엔드, 웹 풀스택, 시스템/네트워크",상시 채용,정규직,,"서울 강남구 역삼로1길 8, (역삼동) ",,"['Java', 'Django', 'Git', 'Node.js', 'Python', 'Vue.js', 'MySQL']",https://programmers.co.kr/job_positions/15840
14,Wi-Fi 관련 QA,테크노니아,QA,상시 채용,정규직,,"서울 서초구 매헌로 16, (양재동) 5층 브로드컴코리아 ",,,https://programmers.co.kr/job_positions/17280
15,[병역특례] iOS개발 산업기능요원,넛지헬스케어,iOS,상시 채용,정규직,,"서울 강남구 역삼로1길 8, (역삼동) ",,"['Swift', 'iOS']",https://programmers.co.kr/job_positions/15839
