,공고명,회사명,직무,마감일,고용 형태,근무지,학력,기술 스택,링크
0,"연구센터 개발자(Nestjs, DevOps)",원더무브,"웹 개발자, 서버 개발자, Node.js 개발자",2023-05-29,,서울 서초구 논현로27길 104,,"['Git', 'Github', 'MongoDB', 'React', 'HTML', 'JavaScript', 'Node.js', 'AWS', 'React.js']",https://www.wanted.co.kr///wd/162445
1,[Nest]백엔드 개발자,더프라자,"웹 개발자, 서버 개발자, Node.js 개발자",2023-05-31,,서울 서울시 강남구 영동대로 85길 20 대치3차아이파크,,"['Github', 'Slack', 'MySQL', 'React', 'Ruby on Rails', 'Node.js', 'TypeScript', 'AWS', 'React Native', 'Figma', 'Notion', 'Nest.js']",https://www.wanted.co.kr///wd/159542
2,백엔드 개발자,한국글로벌널리지네트웍,웹 개발자,,,서울 금천구 가산디지털1로 168 우림라이온스밸리 B동 1206호,,"['Github', 'GraphQL', 'Linux', 'React', 'JavaScript', 'PHP', 'Python', 'TypeScript', 'AWS', 'HTML5', 'PostgreSQL', 'SASS', 'Moodle', 'React.js', 'Figma']",https://www.wanted.co.kr///wd/156765
3,[개발팀] 백엔드 담당자,아이티이지,"웹 개발자, 서버 개발자, PHP 개발자",,,서울 서초구 서초대로 250 3층 (스타갤러리브릿지),,"['Linux', 'MySQL', 'Java', 'JavaScript', 'PHP', 'Python', 'Docker', 'ElasticSearch', 'CodeIgniter', 'Kubernetes']",https://www.wanted.co.kr///wd/154335
4,Windows Client 개발자,스파이더크래프트,"웹 개발자, 서버 개발자",,,서울 서울시 강남구 논현로 131길 20 스파이더센터,,"['Github', 'Azure', 'Linux', 'MySQL', 'C / C++', 'JSON', 'MSSQL']",https://www.wanted.co.kr///wd/153026
5,Front-end 개발자,베이리스,"웹 개발자, 서버 개발자, 프론트엔드 개발자",,,"경기 경기도 성남시 수정구 창업로42, 경기기업성장센터 725호",,"['C', 'C++']",https://www.wanted.co.kr///wd/152603
6,백엔드/서버 개발자,이글로벌시스템,"웹 개발자, 서버 개발자, 자바 개발자",,,서울 서울시 강남구 선릉로 93길54 일환빌딩 4층,,"['Git', 'Linux', 'C / C++', 'Java', 'SQL', 'UNIX', 'Docker']",https://www.wanted.co.kr///wd/99189
7,웹 개발자,플랫포머스,웹 개발자,,,서울 서울시 강남구 언주로 431 7층 삼봉빌딩,,"['Github', 'Android', 'AngularJS', 'iOS', 'Linux', 'React', 'VueJS', 'ASP', 'ASP .NET', 'HTML', 'Java', 'JavaScript', 'SQL', 'JSP']",https://www.wanted.co.kr///wd/96134
8,[100억↑투자] Back-end Software Engineer,제이앤피메디(JNPMEDI),"웹 개발자, 서버 개발자, 소프트웨어 엔지니어",,,"인천 연수구 컨벤시아대로 165, 포스코타워 31층",,"['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']",https://www.wanted.co.kr///wd/117929
9,[100억↑투자] Front-end Software Engineer,제이앤피메디(JNPMEDI),"웹 개발자, 서버 개발자, 프론트엔드 개발자",,,"인천 연수구 컨벤시아대로 165, 포스코타워 31층",,"['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']",https://www.wanted.co.kr///wd/117921
